"A charge flow will be used to process the payment.","Ein Charge Flow wird zur Abwicklung der Zahlung verwendet."
"A manual decision about whether to accept the payment is required.","Eine Entscheidung wird benötigt, ob die Zahlung akzeptiert werden soll."
"Active","Aktiv"
"Adjustment","Korrektur"
"Allow customer's to download invoice documents.","Erlauben Sie Kunden, Rechnunungsdokumente herunterzuladen."
"Allow customer's to download packing slips.","Erlauben Sie Kunden, Lieferscheine herunterzuladen."
"Allow customer's to download refund documents.","Erlauben Sie Kunden, Rückerstattungsdokumente herunterzuladen."
"Are you sure you want to remove this token?","Soll dieser Token wirklich gelöscht werden?"
"As long as there is an open creditmemo for the order, no new creditmemo can be created.","Solange es eine offene Rechnungskorrektur für den Auftrag gibt, kann keine neue erstellt werden."
"Authentication Key","Authentication Key"
"Authorization Amount","Autorisierungsbetrag"
"Authorized","Autorisiert"
"Command %1 does not exist.","Befehl %1 existiert nicht."
"Completed","Abgeschlossen"
"Configuration ID required","Konfigurations-ID erforderlich"
"Confirmed","Bestätigt"
"Could not delete the payment method configuration: %1","Konnte die Zahlartenkonfiguration nicht löschen: %1"
"Could not delete the refund job: %1","Konnte den Rückerstattungsjob nicht löschen: %1"
"Could not delete the token info: %1","Konnte die Tokeninfo nicht löschen: %1"
"Could not delete the transaction info: %1","Konnte die Transaktionsinfo nicht löschen: %1"
"Could not distribute the rounding difference.","Die Rundungsdifferenz konnte nicht verteilt werden."
"Could not save the payment method configuration: %1","Konnte die Zahlartenkonfiguration nicht speichern: %1"
"Could not save the refund job: %1","Konnte den Rückerstattungsjob nicht speichern: %1"
"Could not save the token info: %1","Konnte die Tokeninfo nicht speichern: %1"
"Could not save the transaction info: %1","Konnte die Transaktionsinfo nicht speichern: %1"
"Custom Shipping Description","Eigene Versandbeschreibung"
"Customer Attributes","Kundenattribute"
"Customer Download: Invoice","Kunden-Download: Rechnung"
"Customer Download: Packing Slip","Kunden-Download: Lieferschein"
"Customer Download: Refund","Kunden-Download: Rückerstattung"
