"A charge flow will be used to process the payment.","A charge flow will be used to process the payment."
"A manual decision about whether to accept the payment is required.","A manual decision about whether to accept the payment is required."
"Active","Active"
"Allow customer's to download invoice documents.","Allow customer's to download invoice documents."
"Allow customer's to download packing slips.","Allow customer's to download packing slips."
"Allow customer's to download refund documents.","Allow customer's to download refund documents."
"Application User Id","Application User Id"
"Application User Key","Application User Key"
"Are you sure you want to remove this token?","Are you sure you want to remove this token?"
"As long as there is an open creditmemo for the order, no new creditmemo can be created.","As long as there is an open creditmemo for the order, no new creditmemo can be created."
"Authorization Amount","Authorization Amount"
"Authorized","Authorized"
"Command %1 does not exist.","Command %1 does not exist."
"Completed","Completed"
"Configuration ID required","Configuration ID required"
"Confirmed","Confirmed"
"Could not delete the payment method configuration: %1","Could not delete the payment method configuration: %1"
"Could not delete the refund job: %1","Could not delete the refund job: %1"
"Could not delete the token info: %1","Could not delete the token info: %1"
"Could not delete the transaction info: %1","Could not delete the transaction info: %1"
"Could not save the payment method configuration: %1","Could not save the payment method configuration: %1"
"Could not save the refund job: %1","Could not save the refund job: %1"
"Could not save the token info: %1","Could not save the token info: %1"
"Could not save the transaction info: %1","Could not save the transaction info: %1"
"Custom Shipping Description","Custom Shipping Description"
"Customer Download: Invoice","Customer Download: Invoice"
"Customer Download: Packing Slip","Customer Download: Packing Slip"
"Customer Download: Refund","Customer Download: Refund"
"Decline","Decline"
"Description","Description"
"Discount","Discount"
"Document","Document"
"Download Invoice","Download Invoice"
"Download Packing Slip","Download Packing Slip"
"Download Refund","Download Refund"
"Email","Email"
"Enabled","Enabled"
"External ID required","External ID required"
"Failed","Failed"
"Failure Reason","Failure Reason"
"For this order no refund request exists.","For this order no refund request exists."
"Fulfill","Fulfill"
"General","General"
"Hold Delivery","Hold Delivery"
"ID required","ID required"
"If you need help setting up the wallee extension, check out the <a href=""https://plugin-documentation.wallee.com/wallee-payment/magento-2/1.0.5/docs/en/documentation.html"" target=""_blank"">documentation</a>.","If you need help setting up the wallee extension, check out the <a href=""https://plugin-documentation.wallee.com/wallee-payment/magento-2/1.0.5/docs/en/documentation.html"" target=""_blank"">documentation</a>."
"Inactive","Inactive"
"Information","Information"
"Invoice","Invoice"
"Line Items","Line Items"
"Listener %1 does not exist.","Listener %1 does not exist."
"Module Version","Module Version"
"Only one invoice is allowed. To change the invoice, cancel the existing one first.","Only one invoice is allowed. To change the invoice, cancel the existing one first."
"Order ID required","Order ID required"
"Overwrite Shipping Description","Overwrite Shipping Description"
"Packing Slip","Packing Slip"
"Payment Method","Payment Method"
"Pending","Pending"
"Place Order","Place Order"
