"Un flux de charges sera utilisé pour traiter le paiement.",".
"Une décision manuelle sur l'acceptation ou non du paiement est requise.",".
"Actif", "Actif"
"Ajustement", "Ajustement"
"Allow customer's to download invoice documents.", "Autoriser les clients à télécharger les documents de facturation",".
"Allow customer's to download packing slips.", "Autoriser les clients à télécharger les bordereaux d'expédition".
"Allow customer's to download refund documents.", "Autoriser les clients à télécharger les documents de remboursement."
"Are you sure you want to remove this token?", "Êtes-vous sûr de vouloir supprimer ce jeton ?"
"As long as there is an open creditmemo for the order, no new creditmemo can be created.", "Tant qu'il y a un creditmemo ouvert pour la commande, aucun nouveau creditmemo ne peut être créé."
"Authentication Key", "Clé d'authentification".
"Authorization Amount", "Montant de l'autorisation"
"Authorized", "Autorisé"
"Command %1 does not exist.", "Commande %1 n'existe pas."
"Completed", "Completed"
"Configuration ID required", "ID de configuration requis"
"Confirmed", "Confirmé"
"Could not delete the payment method configuration: %1", "Impossible de supprimer la configuration du mode de paiement : %1"
"Could not delete the refund job: %1", "Impossible de supprimer le travail de remboursement : %1"
"Could not delete the token info: %1", "Impossible de supprimer les informations sur le jeton : %1"
"Could not delete the transaction info: %1", "Impossible de supprimer les informations sur la transaction : %1"
"Could not distribute the rounding difference.", "Impossible de distribuer la différence d'arrondi."
"Could not save the payment method configuration: %1", "Impossible de sauvegarder la configuration du mode de paiement : %1"
"Could not save the refund job: %1", "Impossible d'enregistrer la tâche de remboursement : %1"
"Could not save the token info: %1", "Impossible d'enregistrer les informations sur le jeton : %1"
"Could not save the transaction info: %1", "Impossible d'enregistrer les informations sur la transaction : %1"
"Custom Shipping Description", "Description d'expédition personnalisée"
"Customer Attributes", "Attributs du client".
"Customer Download: Invoice", "Téléchargement client : Facture"
"Customer Download: Packing Slip", "Téléchargement client : Bordereau d'expédition"
"Customer Download: Refund", "Téléchargement client : Remboursement"
"Customer", "Client"
"Decline", "Déclin"
"Define the customer attributes that should be attached to the wallee transaction as meta data", "Définir les attributs du client qui doivent être joints à la transaction wallee en tant que métadonnées".
"Define the product attributes that should be appended to the line item attributes sent of the wallee transactions. They will be displayed in the line item list of emails and documents.", "Définissez les attributs de produit qui doivent être ajoutés aux attributs des éléments de ligne envoyés des transactions wallee. Ils seront affichés dans la liste des éléments de ligne des e-mails et des documents."
"Description", "Description"
"Discount", "Remise"
"Document", "Document"
"Download Invoice", "Télécharger la facture"
"Download Packing Slip", "Télécharger le bordereau d'expédition".
"Download Refund", "Télécharger le remboursement"
"Email","E-Mail"
"Enabled","Activé"
"Enforce Consistency","Imposer la cohérence"
"External ID required","Identifiant externe requis"
"Failed","Échec"
"Failure Reason","Raison de l'échec"
"For this order no refund request exists.","Pour cette commande, aucune demande de remboursement n'existe."
"Fulfill","Accomplir"
"General","Général"
"Gift Wrap","Papier cadeau"
"Hold Delivery","Suspendre la livraison"
"ID required","Pièce d'identité requise"
"If you need help setting up the wallee extension, check out the <a href=""https://plugin-documentation.wallee.com/wallee-payment/magento-2.2/2.0.6/docs/en/documentation.html"" target=""_blank"">documentation</a>.","Si vous avez besoin d'aide pour configurer l'extension wallee, consultez la <a href=""https://plugin-documentation.wallee.com/wallee-payment/magento-2.2/2.0.6/docs/en/documentation.html"" target=""_blank"">documentation</a> an."
"Inactive","Inactif"
"Information","Information"
"Invoice","Facture"
"Line Items","Line Items"
"Listener %1 does not exist.","L'écouteur %1 n'existe pas."
"Meta Data","Métadonnées"
"Module Version","Version du module"
"Only one invoice is allowed. To change the invoice, cancel the existing one first.","Une seule facture est autorisée. Pour modifier la facture, annulez d'abord celle qui existe."
"Order ID required","ID de commande requis"
"Overwrite Shipping Description","Ecraser la description d'expédition"
"Packing Slip","Bon de livraison"
"Payment Method","Méthode de paiement"
"Payment Form Integration Method","Méthode d'intégration du formulaire de paiement"
"Pending","En attente"
"Place Order","Passer la commande"
"Processing","Traitement"
"Product Attributes","Attributs du produit"
"Refund","Rembourser"
"Registered update about denied payment.","Mise à jour enregistrée sur paiement refusé."
"Requested entity does not exist","L'entité demandée n'existe pas."
"Require that the line items of the transaction correspond to those of the purchase order in Magento. This may result in the wallee payment methods not being available to the customer in certain cases. In return, it is ensured that only correct data is transmitted to wallee.","Exiger que les rubriques de la transaction correspondent à celles du bon de commande dans Magento. Cela peut avoir pour conséquence que les moyens de paiement wallee ne soient pas disponibles pour le client dans certains cas. En contrepartie, il est assuré que seules des données correctes sont transmises à wallee."
