"A charge flow will be used to process the payment.","Un flusso di addebito verrà utilizzato per elaborare il pagamento."
"A manual decision about whether to accept the payment is required.","È necessaria una decisione manuale sull'eventuale accettazione del pagamento."
"Active","Attiva"
"Adjustment","Regolazione"
"Allow customer's to download invoice documents.","Consenti ai clienti di scaricare i documenti di fatturazione."
"Allow customer's to download packing slips.","Consenti ai clienti di scaricare i documenti di trasporto."
"Allow customer's to download refund documents.","Consenti ai clienti di scaricare i documenti di rimborso."
"Are you sure you want to remove this token?","Sei sicuro di voler rimuovere questo token?"
"As long as there is an open creditmemo for the order, no new creditmemo can be created.","Finché c'è una nota di credito aperta per l'ordine, non è possibile creare una nuova nota di credito."
"Authentication Key","Chiave di autenticazione"
"Authorization Amount","Importo dell'autorizzazione"
"Authorized","Authorized"
"Command %1 does not exist.","Il comando %1 non esiste."
"Completed","Completato"
"Configuration ID required","ID configurazione richiesto"
"Confirmed","Confermato"
"Could not delete the payment method configuration: %1","Impossibile eliminare la configurazione del metodo di pagamento: %1"
"Could not delete the refund job: %1","Impossibile eliminare il processo di rimborso: %1"
"Could not delete the token info: %1","Impossibile eliminare le informazioni sul token: %1"
"Could not delete the transaction info: %1","Impossibile eliminare le informazioni sulla transazione: %1"
"Could not distribute the rounding difference.","Impossibile distribuire la differenza di arrotondamento."
"Could not save the payment method configuration: %1","Impossibile salvare la configurazione del metodo di pagamento: %1"
"Could not save the refund job: %1","Impossibile salvare il processo di rimborso: %1"
"Could not save the token info: %1","Impossibile salvare le informazioni sul token: %1"
"Could not save the transaction info: %1","Impossibile salvare le informazioni sulla transazione %1"
"Custom Shipping Description","Descrizione spedizione personalizzata"
"Customer Attributes","Attributi del cliente"
"Customer Download: Invoice","Download cliente: fattura"
"Customer Download: Packing Slip","Scarica dal cliente: bolla di accompagnamento"
"Customer Download: Refund","Scarica dal cliente: Rimborso"
"Customer","Cliente"
"Decline","Declino"
"Define the customer attributes that should be attached to the wallee transaction as meta data.","Definisci gli attributi del cliente che devono essere allegati alla transazione wallee come metadati."
"Define the product attributes that should be appended to the line item attributes sent of the wallee transactions. They will be displayed in the line item list of emails and documents.","Define the product attributes that should be appended to the line item attributes sent of the wallee transactions. They will be displayed in the line item list of emails and documents."
"Description","Descrizione"
"Discount","Sconto"
"Document","Documento"
"Download Invoice","Scarica fattura"
"Download Packing Slip","Scarica la distinta di imballaggio"
"Download Refund","Scarica Rimborso"
"Email","E-Mail"
"Enabled","Abilitato"
"Enforce Consistency","Applicare la coerenza"
"External ID required","ID esterno richiesto"
"Failed","Fallito"
"Failure Reason","Motivo del fallimento"
"For this order no refund request exists.","Per questo ordine non esiste alcuna richiesta di rimborso."
"Fulfill","Lenar"
"General","Generale"
"Gift Wrap","Confezione regalo"
"Hold Delivery","Sospendi la consegna"
"ID required","ID richiesto"
"If you need help setting up the wallee extension, check out the <a href=""https://plugin-documentation.wallee.com/wallee-payment/magento-2.2/2.0.2/docs/en/documentation.html"" target=""_blank"">documentation</a>.","Se hai bisogno di aiuto per configurare l'estensione wallee, consulta la <a href=""https://plugin-documentation.wallee.com/wallee-payment/magento-2.2/2.0.2/docs/en/documentation.html"" target=""_blank"">documentazione</a> an."
"Inactive","Inattivo"
"Information","Informazione"
"Invoice","Fattura"
"Line Items","Line Items"
"Listener %1 does not exist.","Listener %1 non esiste."
"Meta Data","Meta-Data"
"Module Version","Versione del modulo"
"Only one invoice is allowed. To change the invoice, cancel the existing one first.","È consentita una sola fattura. Per modificare la fattura, annullare prima quella esistente."
"Order ID required","ID ordine richiesto"
"Overwrite Shipping Description","Sovrascrivi la descrizione di spedizione"
"Packing Slip","Documento di imballaggio"
"Payment Method","Metodo di pagamento"
"Payment Form Integration Method","Metodo di integrazione del modulo di pagamento"
"Pending","Pending"
"Place Order","Invia ordine"
"Processing","in lavorazione"
"Product Attributes","Caratteristiche del prodotto"
"Refund","Rimborso"
"Registered update about denied payment.","Aggiornamento registrato sul pagamento negato."
"Requested entity does not exist","L'entità richiesta non esiste."
